Date,Extent
1987-08,12.580666666666668
1987-09,12.762383333333332
1987-10,13.361435483870968
1987-11,13.404066666666667
1987-12,12.95975
1988-01,9.453815789473685
1988-02,9.23453448275862
1988-03,9.961709677419355
1988-04,10.705366666666666
1988-05,11.58158064516129
1988-06,12.518116666666666
1988-07,12.778677419354839
1988-08,12.726290322580645
1988-09,12.8381
1988-10,13.748032258064516
1988-11,13.73925
1988-12,12.34308064516129
1989-01,9.845806451612905
1989-02,9.236571428571429
1989-03,9.675290322580645
1989-04,10.317333333333332
1989-05,11.670645161290324
1989-06,12.912483333333334
1989-07,12.920145161290323
1989-08,12.673709677419355
1989-09,12.564699999999998
1989-10,13.3425
1989-11,13.424333333333333
1989-12,11.612161290322582
1990-01,9.825
1990-02,9.307196428571428
1990-03,9.916354838709676
1990-04,10.824966666666667
1990-05,11.470645161290323
1990-06,12.361733333333332
1990-07,12.408774193548387
1990-08,12.182467741935485
1990-09,12.1679
1990-10,13.215129032258064
1990-11,13.271749999999999
1990-12,11.529532258064517
1991-01,9.851032258064516
1991-02,9.205250000000001
1991-03,9.611483870967742
1991-04,10.9566
1991-05,11.876290322580646
1991-06,12.58685
1991-07,12.532225806451613
1991-08,12.56716129032258
1991-09,12.392750000000001
1991-10,13.229354838709678
1991-11,13.234066666666667
1991-12,11.568709677419355
1992-01,9.695774193548388
1992-02,9.149741379310344
1992-03,9.527209677419355
1992-04,10.7355
1992-05,11.57016129032258
1992-06,12.477633333333333
1992-07,13.108774193548388
1992-08,12.826145161290322
1992-09,12.81045
1992-10,13.62674193548387
1992-11,13.637083333333333
1992-12,11.806564516129033
1993-01,9.652725806451613
1993-02,9.083910714285715
1993-03,9.740677419354839
1993-04,10.8644
1993-05,11.735999999999999
1993-06,12.509033333333333
1993-07,12.665612903225806
1993-08,12.413387096774194
1993-09,12.469933333333334
1993-10,13.456838709677418
1993-11,13.6804
1993-12,11.62616129032258
1994-01,9.847741935483873
1994-02,9.379714285714286
1994-03,10.051483870967742
1994-04,11.0548
1994-05,12.016193548387097
1994-06,12.788266666666667
1994-07,13.110564516129033
1994-08,12.739435483870968
1994-09,12.875116666666665
1994-10,13.502677419354837
1994-11,13.501816666666667
1994-12,11.686193548387097
1995-01,10.111193548387098
1995-02,9.393232142857142
1995-03,9.943290322580646
1995-04,10.858116666666666
1995-05,11.693774193548387
1995-06,12.36515
1995-07,12.365483870967742
1995-08,12.262274193548386
1995-09,12.226433333333334
1995-10,12.929290322580645
1995-11,13.1974
1995-12,11.771370967741936
1996-01,10.026
1996-02,9.069706896551724
1996-03,9.653145161290322
1996-04,10.7479
1996-05,12.005645161290323
1996-06,12.9771
1996-07,13.141967741935485
1996-08,12.96091935483871
1996-09,13.107066666666666
1996-10,13.562758064516128
1996-11,13.0598
1996-12,11.257209677419356
1997-01,9.307370967741935
1997-02,8.963125
1997-03,9.462451612903227
1997-04,10.527683333333332
1997-05,11.650564516129032
1997-06,12.4272
1997-07,12.66575806451613
1997-08,12.484693548387098
1997-09,12.641383333333332
1997-10,13.164967741935484
1997-11,13.208466666666668
1997-12,11.680790322580645
1998-01,9.592709677419355
1998-02,9.36769642857143
1998-03,9.852790322580645
1998-04,10.872883333333334
1998-05,11.959145161290323
1998-06,12.509466666666667
1998-07,12.68891935483871
1998-08,12.695112903225807
1998-09,12.719766666666667
1998-10,13.55616129032258
1998-11,13.3705
1998-12,11.639064516129032
1999-01,9.587629032258064
1999-02,9.137464285714286
1999-03,9.687725806451613
1999-04,10.98785
1999-05,12.008145161290322
1999-06,12.714
1999-07,12.884951612903226
1999-08,12.59174193548387
1999-09,12.406616666666668
1999-10,13.477483870967742
1999-11,13.380533333333334
1999-12,11.681612903225806
2000-01,9.484612903225807
2000-02,9.024000000000001
2000-03,9.655354838709677
2000-04,10.845233333333335
2000-05,12.036629032258064
2000-06,12.778966666666667
2000-07,12.805370967741935
2000-08,12.687225806451613
2000-09,12.56695
2000-10,13.254967741935484
2000-11,13.039366666666666
2000-12,11.273483870967743
2001-01,9.717854838709677
2001-02,9.43075
2001-03,10.123887096774194
2001-04,10.95055
2001-05,11.91975806451613
2001-06,12.437000000000001
2001-07,12.461112903225805
2001-08,12.441774193548387
2001-09,12.453566666666667
2001-10,13.012145161290324
2001-11,13.134066666666666
2001-12,11.418322580645162
2002-01,9.506112903225807
2002-02,9.151375
2002-03,9.54858064516129
2002-04,10.313633333333334
2002-05,11.24108064516129
2002-06,11.979583333333332
2002-07,12.344435483870969
2002-08,11.83283870967742
2002-09,11.85725
2002-10,13.013838709677419
2002-11,12.873850000000001
2002-12,11.696935483870968
2003-01,10.081774193548387
2003-02,9.490857142857141
2003-03,9.964629032258065
2003-04,10.860166666666666
2003-05,11.875935483870968
2003-06,12.7947
2003-07,12.808370967741936
2003-08,12.259177419354838
2003-09,12.2072
2003-10,13.023145161290321
2003-11,13.117433333333334
2003-12,11.575967741935484
2004-01,9.808467741935484
2004-02,9.24896551724138
2004-03,9.759387096774194
2004-04,10.633550000000001
2004-05,11.514225806451613
2004-06,12.613533333333333
2004-07,12.881935483870967
2004-08,12.432451612903225
2004-09,12.451866666666666
2004-10,13.191112903225807
2004-11,13.214049999999999
2004-12,11.39124193548387
2005-01,9.206645161290323
2005-02,8.671232142857143
2005-03,9.384112903225807
2005-04,10.5609
2005-05,11.599951612903226
2005-06,12.226766666666666
2005-07,12.403290322580645
2005-08,12.111806451612903
2005-09,12.154283333333332
